id,sentiment,message
review-positivo-0,positivo,"Quiero agradecer enormemente al equipo de soporte técnico. Tuve un problema con mi computadora y no tenía idea de por dónde comenzar. Al contactarlos, me atendieron de inmediato y el asesor que me ayudó fue super amable. Me explicaron todo de manera clara y nunca sentí que me apuraban. Terminaron solucionando mi problema en menos tiempo del que esperaba. Además, me dieron algunos consejos útiles para el futuro, lo que aprecio muchísimo. Definitivamente me dejaron muy satisfecho, y ya sé a quién llamar si tengo más problemas. ¡Mil gracias!"
review-negativo-1,negativo,"No estoy satisfecho con la plataforma. A pesar de que prometen muchas cosas interesantes, he tenido muchos problemas técnicos desde que la empecé a usar. A veces se queda congelada y tengo que reiniciar todo, lo cual es super frustrante. Además, la navegación no es muy intuitiva, pasé mucho tiempo buscando algunas funciones que deberían ser más fáciles de encontrar. Y ni hablar del soporte al cliente, he enviado varias consultas y la respuesta tardó días en llegar. Siento que me han desperdiciado el tiempo y la verdad, ya no tengo ganas de seguir intentando."
review-neutral-2,neutral,"La atención al cliente fue adecuada. Cuando tuve un inconveniente con mi pedido, logré comunicarme con un representante que me respondió sin muchos problemas. La espera no fue muy larga, y me proporcionó la información que necesitaba, aunque sentí que no se interesó demasiado en mi situación. La verdad es que podría haber sido más amigable, pero al final del día, resolví mi problema. A veces, creo que deberían capacitar más a su personal en cuanto a empatía y servicio, pero al menos obtuve una respuesta clara. Espero que mejoren un poco en ese aspecto."
review-positivo-3,positivo,"¡Hola! Quería dejar mi opinión sobre la experiencia que tuve con el soporte técnico. Tuve un problema con mi cuenta y, honestamente, no sabía qué hacer. Pero desde el primer momento, el agente fue súper amable y se tomó el tiempo para explicarme cada paso. En menos de lo que imaginé, lograron resolver mi inconveniente. Me sentí realmente escuchado y valorado como cliente. Además, la rapidez con la que respondieron fue genial. ¡Mil gracias por la ayuda! Definitivamente me quedo con una buena impresión y seguiré usando el servicio sin dudarlo. ¡Sigan así!"
review-negativo-4,negativo,"La verdad es que estoy bastante decepcionado con el tiempo de respuesta que he tenido por parte del servicio al cliente. He tenido que esperar más de una semana para que me contesten un simple correo, y eso que pensaba que era un asunto urgente. Ya he intentado comunicarme por diferentes medios, pero parece que no les importa mucho. No puedo creer que en pleno 2023 sigan careciendo de una atención más rápida. Esto me hace repensar si seguiré confiando en ustedes para futuros requerimientos. Me gustaría que mejoraran este aspecto, ya que afecta la experiencia global."
review-neutral-5,neutral,"El servicio que recibí fue correcto, aunque nada destacable. El tiempo de espera fue aceptable y la atención del personal fue buena, no hubo grandes inconvenientes. Sin embargo, me parece que podrían mejorar algunos aspectos, como la comunicación sobre el estado de mi pedido. Hubo momentos en que no estaba claro si estaba en proceso o si había algún retraso. En general, la experiencia fue adecuada, cumplió con lo esperado, pero con algunas áreas que podrían pulirse para hacerla más eficiente. Espero que tomen en cuenta mis comentarios para futuros usuarios."
review-positivo-6,positivo,"¡Hola! Quería dejar un comentario sobre mi experiencia usando la aplicación. La verdad es que me sorprendió lo fácil que es navegar por ella. Todo está muy bien organizado y los menús son intuitivos. A veces, incluso me encuentro explorando secciones que no había planeado, porque la interfaz invita a hacerlo. Además, el tiempo de carga es rapidísimo, lo que se agradece mucho. Una sugerencia sería añadir más tutoriales para los que somos un poquito más novatos, pero en general estoy muy contento con lo que he visto. ¡Sigan así!"
review-negativo-7,negativo,"La verdad es que he tenido varios problemas con el sistema últimamente. A menudo se cuelga y me deja en medio de lo que estoy haciendo. Ayer, perdí un trabajo que tenía casi terminado porque se bloqueó cuando intenté guardar. También la interfaz es complicada, no me parece intuitivo y me hace perder tiempo buscando las funciones que necesito. Ademas, me gustaría que cargara un poco más rapido, a veces solo espero unos minutos y no pasa nada. No sé si hay planes de mejoras, pero eso es algo que realmente necesitan resolver. Me siento frustrado cada vez que uso el sistema. Espero que se tomen en cuenta estos problemas."
review-neutral-8,neutral,"El proceso de onboarding fue bastante sencillo, aunque encontré algunas partes un poco repetitivas. La guia inicial tenía buenos pasos y explicaciones, pero algunas opciones no estaban del todo claras. Hubo momentos en que trataba de seguir las instrucciones y no sabía si estaba haciendo lo correcto. Me gustaría que hubiera más ejemplos o recursos adicionales para entender mejor los conceptos. En general, no fue complicado, pero creo que podría mejorar con algunos ajustes. Al final del día, sentí que se cubrieron los aspectos básicos, pero esos detalles adicionales hubieran hecho una gran diferencia."
review-positivo-9,positivo,"Hola, solo quería compartir mi experiencia con la documentación que ofrecen. La verdad es que me ha servido muchísimo. Cada vez que tengo una duda, puedo encontrar la respuesta fácilmente y eso hace que el proceso sea mucho más sencillo. Además, los ejemplos prácticos que incluyen son super útiles para entender mejor cada concepto. Me gusta que esté organizada y que no sea tan técnica, lo que ayuda a los que no somos expertos en la materia. Seguid así, que lo están haciendo genial. ¡Muchísimas gracias!"
